seq,send_stack_us,recv_stack_us,network_latency_us
0,69.3509521484375,47.8890380859375,4641
1,22.1719970703125,48.5909423828125,4425
2,20.8890380859375,80.7020263671875,4258
3,26.4609375,57.658935546875,12739
4,25.5880126953125,72.3759765625,11565
5,26.822021484375,85.341064453125,10597
6,25.5670166015625,38.4530029296875,9881
7,22.6019287109375,112.4219970703125,9141
8,24.486083984375,143.9229736328125,8393
9,43.240966796875,114.9969482421875,7794
10,30.0469970703125,154.3619384765625,16351
11,22.9930419921875,41.0570068359375,14777
12,24.916015625,55.7750244140625,13314
13,20.2879638671875,70.7930908203125,12045
14,15.3380126953125,59.593017578125,10931
15,19.8179931640625,70.9940185546875,9927
16,13.7269287109375,155.8050537109375,9053
17,16.240966796875,79.2301025390625,8299
18,23.25390625,58.2999267578125,7604
19,20.3389892578125,53.321044921875,7033
20,17.1820068359375,82.055908203125,6494
21,15.27001953125,55.555908203125,6057
22,17.4930419921875,68.4100341796875,5678
23,12.7340087890625,60.303955078125,5330
24,17.884033203125,70.9239501953125,5027
25,12.722900390625,59.613037109375,4792
26,18.5460205078125,77.236083984375,4539
27,15.3489990234375,46.0869140625,4356
28,17.77392578125,41.867919921875,4153
29,16.9530029296875,41.947998046875,3978
30,31.9510498046875,66.5960693359375,3864
31,19.4559326171875,88.385986328125,3733
32,17.322021484375,76.6839599609375,3592
33,15.8800048828125,57.0780029296875,3509
34,16.1500244140625,69.092041015625,3420
35,14.97802734375,41.97900390625,3350
36,16.080078125,79.3399658203125,3257
37,18.195068359375,73.7989501953125,3207
38,21.98291015625,59.531982421875,5109
39,19.1060791015625,199.8580322265625,4881
40,19.2359619140625,110.6090087890625,4643
41,21.2301025390625,91.68408203125,4490
42,17.4129638671875,110.9190673828125,4314
43,22.1610107421875,84.1190185546875,4253
44,18.7249755859375,55.1240234375,4075
45,20.2779541015625,78.407958984375,3922
46,17.6539306640625,55.385009765625,3806
47,41.2879638671875,52.489990234375,3687
48,15.8909912109375,53.0609130859375,3583
49,16.0799560546875,38.6429443359375,3519
50,17.824951171875,69.111083984375,3457
51,15.7900390625,54.5440673828125,3461
52,18.7359619140625,53.3909912109375,3434
53,15.9000244140625,54.8638916015625,3364
54,15.56005859375,39.593994140625,3335
55,18.2440185546875,54.9949951171875,3768
56,16.14111328125,38.7230224609375,4282
57,33.4639892578125,116.801025390625,4064
58,19.2059326171875,134.125,3862
59,19.3460693359375,80.612060546875,3739
60,18.06298828125,138.8719482421875,3607
61,33.012939453125,78.51904296875,3466
62,17.7130126953125,122.98291015625,3356
63,18.053955078125,58.6510009765625,3298
64,15.679931640625,70.031982421875,3339
65,46.7879638671875,124.946044921875,3290
66,102.7940673828125,248.158935546875,3238
67,60.1629638671875,121.8809814453125,3252
68,19.6070556640625,55.375,3301
69,21.89208984375,74.6409912109375,3324
70,32.2210693359375,79.6500244140625,3281
71,45.6669921875,88.135986328125,3255
72,19.68798828125,91.7730712890625,3202
73,22.322021484375,86.4129638671875,3150
74,21.7310791015625,180.9420166015625,3127
75,20.5980224609375,111.3499755859375,3106
76,21.321044921875,125.9290771484375,3081
77,20.14794921875,76.4140625,3034
78,18.966064453125,60.6549072265625,2993
79,16.8330078125,62.258056640625,2957
80,12.0230712890625,57.2779541015625,3030
81,16.1700439453125,39.7940673828125,3013
82,18.6949462890625,39.385009765625,2995
83,15.4090576171875,100.16796875,2942
84,13.1849365234375,112.4830322265625,2944
85,18.5540771484375,29.6949462890625,2985
86,11.85302734375,62.5079345703125,3003
87,12.322998046875,55.2139892578125,2991
88,17.6629638671875,70.6529541015625,2996
89,12.343017578125,55.2349853515625,3131
90,18.1439208984375,70.3829345703125,3067
91,12.10205078125,82.053955078125,3034
92,13.216064453125,94.989013671875,3011
