seq,send_stack_us,recv_stack_us,network_latency_us
0,17.614013671875,41.6590576171875,10671
1,19.177001953125,70.403076171875,9673
2,11.7120361328125,59.4429931640625,8686
3,12.7640380859375,40.68603515625,7781
4,16.4720458984375,47.4888916015625,7076
5,18.64501953125,52.259033203125,6308
6,18.573974609375,76.10400390625,5916
7,15.2979736328125,54.85400390625,5377
8,17.822998046875,29.0140380859375,4936
9,21.6409912109375,59.6829833984375,4487
10,12.8140869140625,39.364990234375,4058
11,15.8299560546875,57.89892578125,3674
12,18.345947265625,51.5479736328125,3326
13,18.2340087890625,48.1009521484375,3031
14,18.196044921875,51.0360107421875,2770
15,15.7200927734375,47.6600341796875,2539
16,18.967041015625,71.2049560546875,2343
17,17.864990234375,70.31298828125,2186
18,11.7120361328125,30.8790283203125,2074
19,22.1519775390625,89.6490478515625,1935
20,43.7020263671875,53.541015625,1851
21,18.695068359375,59.2919921875,1738
22,12.7740478515625,49.06201171875,1644
23,15.929931640625,47.2489013671875,1573
24,18.68505859375,63.9300537109375,1491
25,11.8819580078125,41.8590087890625,1422
26,16.301025390625,56.7958984375,1353
27,12.833984375,48.6820068359375,1289
28,16.241943359375,48.612060546875,1247
29,16.0,69.742919921875,1220
30,18.60498046875,40.324951171875,8239
31,11.632080078125,55.3739013671875,7338
32,14.7779541015625,34.614990234375,6559
33,18.6160888671875,47.8199462890625,5855
34,16.0299072265625,50.56494140625,5251
35,15.698974609375,55.31396484375,4719
36,15.458984375,30.7679443359375,4249
37,12.5928955078125,54.383056640625,3831
38,15.138916015625,36.3790283203125,3475
39,16.510986328125,39.614013671875,3161
40,11.7730712890625,68.1400146484375,2873
41,18.534912109375,47.9810791015625,2782
42,15.8800048828125,43.281982421875,2746
43,30.778076171875,81.1229248046875,2533
44,12.1529541015625,32.1600341796875,2342
45,16.2109375,77.7779541015625,2174
46,19.56591796875,60.4339599609375,2196
47,11.9420166015625,39.7060546875,2082
48,16.1300048828125,51.7979736328125,2004
49,15.969970703125,48.9219970703125,1883
50,15.949951171875,39.4951171875,1763
51,15.6090087890625,50.68603515625,1673
52,16.0699462890625,48.490966796875,1572
53,15.949951171875,47.260009765625,1512
54,18.43505859375,46.20703125,1412
55,18.125,39.174072265625,1340
56,18.906005859375,73.9600830078125,1397
57,15.1080322265625,56.8780517578125,1330
58,17.343994140625,37.23095703125,1259
59,16.281005859375,58.2509765625,1230
60,17.3729248046875,43.27197265625,1187
61,15.7789306640625,43.3709716796875,1149
62,15.159912109375,89.8189697265625,1106
63,15.9910888671875,47.219970703125,1075
64,18.8070068359375,61.7469482421875,1039
65,12.593017578125,50.4949951171875,999
66,15.9300537109375,51.72802734375,988
67,15.990966796875,47.3179931640625,977
68,18.3140869140625,63.01904296875,949
69,11.79296875,39.02392578125,939
70,15.9300537109375,59.54296875,924
71,11.741943359375,51.096923828125,902
72,15.9000244140625,76.4840087890625,887
73,15.0989990234375,59.471923828125,880
74,14.8890380859375,39.9439697265625,875
75,15.2799072265625,36.948974609375,851
76,32.56201171875,59.011962890625,833
77,11.8729248046875,39.2449951171875,827
78,16.0,56.7679443359375,834
79,21.159912109375,51.508056640625,6910
80,16.470947265625,47.6199951171875,6172
81,15.6990966796875,80.3419189453125,5520
82,16.9920654296875,88.115966796875,4930
83,16.782958984375,39.133056640625,4428
84,27.6309814453125,81.405029296875,3984
85,42.0579833984375,60.06298828125,3659
86,13.1949462890625,59.56298828125,3326
87,12.7950439453125,59.6529541015625,3036
88,11.5330810546875,38.14208984375,2816
89,25.969970703125,45.044921875,2603
90,15.950927734375,53.2010498046875,2378
91,17.60302734375,57.5889892578125,2285
92,16.5609130859375,49.283935546875,2129
93,12.1829833984375,45.4759521484375,1984
94,16.3709716796875,45.39599609375,1853
95,18.5750732421875,62.0069580078125,1746
96,12.06201171875,42.3709716796875,1640
97,15.4691162109375,51.488037109375,1553
98,16.3609619140625,48.873046875,1476
99,16.4019775390625,65.85400390625,1408
100,12.7239990234375,45.7850341796875,1338
101,18.2239990234375,62.43798828125,1278
102,11.992919921875,42.5289306640625,1288
103,16.261962890625,48.322021484375,1241
104,11.9219970703125,43.1719970703125,1197
105,15.3289794921875,50.2850341796875,1160
106,18.35498046875,50.5760498046875,1130
107,18.283935546875,60.0030517578125,1121
108,13.1259765625,37.200927734375,1084
109,18.614013671875,40.1060791015625,1053
110,16.070068359375,62.3070068359375,1022
111,12.7540283203125,45.8470458984375,987
112,18.635009765625,50.35498046875,968
113,15.6700439453125,58.1689453125,945
114,15.969970703125,62.468017578125,960
115,12.7940673828125,51.3570556640625,954
116,18.43505859375,49.89306640625,938
117,19.2960205078125,53.1910400390625,2037
118,15.72900390625,50.886962890625,1892
119,18.1649169921875,50.987060546875,1760
120,16.419921875,52.989990234375,1644
121,18.4249267578125,75.092041015625,1537
122,12.073974609375,59.23193359375,1447
123,11.77197265625,42.98193359375,1363
124,15.218017578125,46.248046875,1293
125,16.410888671875,50.635986328125,1231
126,15.989990234375,69.0899658203125,1174
127,37.6810302734375,39.555908203125,1127
128,18.31396484375,80.011962890625,1102
129,15.77001953125,68.408935546875,1086
130,17.52294921875,75.072021484375,1051
131,15.008056640625,55.5550537109375,1024
132,14.8890380859375,49.06298828125,987
133,40.4560546875,52.0789794921875,5775
134,17.2330322265625,75.1019287109375,5288
135,15.139892578125,55.262939453125,4808
136,14.9281005859375,43.132080078125,4324
137,15.3380126953125,38.8729248046875,3902
138,15.9910888671875,68.1290283203125,3535
139,12.35302734375,49.6529541015625,3217
140,15.718994140625,49.0830078125,2937
141,16.1600341796875,51.5369873046875,2680
142,15.9100341796875,60.1339111328125,2477
143,12.001953125,39.324951171875,2300
144,16.0400390625,59.4830322265625,2133
145,11.6619873046875,36.8599853515625,1982
146,15.1781005859375,48.8330078125,1874
147,15.93994140625,45.9969482421875,1748
148,18.405029296875,59.6429443359375,1650
149,11.7120361328125,37.4619140625,1554
150,15.0980224609375,45.5870361328125,1469
151,16.169921875,711.635986328125,1496
152,18.195068359375,36.8590087890625,1430
153,15.157958984375,52.9410400390625,1398
